Salary,Year,Player
395000,1990,Alaa Abdelnaby
494000,1991,Alaa Abdelnaby
500000,1992,Alaa Abdelnaby
805000,1993,Alaa Abdelnaby
650000,1994,Alaa Abdelnaby
1530000,1984,Kareem Abdul-Jabbar
2030000,1985,Kareem Abdul-Jabbar
2000000,1987,Kareem Abdul-Jabbar
3000000,1988,Kareem Abdul-Jabbar
1660000,1990,Mahmoud Abdul-Rauf
2008000,1991,Mahmoud Abdul-Rauf
2358000,1992,Mahmoud Abdul-Rauf
1825000,1993,Mahmoud Abdul-Rauf
2200000,1994,Mahmoud Abdul-Rauf
2600000,1995,Mahmoud Abdul-Rauf
3100000,1996,Mahmoud Abdul-Rauf
3300000,1997,Mahmoud Abdul-Rauf
798500,2000,Mahmoud Abdul-Rauf
1226880,1997,Tariq Abdul-Wahad
1411000,1998,Tariq Abdul-Wahad
1594920,1999,Tariq Abdul-Wahad
4500000,2000,Tariq Abdul-Wahad
5062500,2001,Tariq Abdul-Wahad
5625000,2002,Tariq Abdul-Wahad
6187500,2003,Tariq Abdul-Wahad
6750000,2004,Tariq Abdul-Wahad
3656250,2005,Tariq Abdul-Wahad
1968750,2006,Tariq Abdul-Wahad
2186000,1996,Shareef Abdur-Rahim
9000000,1999,Shareef Abdur-Rahim
10130000,2000,Shareef Abdur-Rahim
11250000,2001,Shareef Abdur-Rahim
12375000,2002,Shareef Abdur-Rahim
13500000,2003,Shareef Abdur-Rahim
14625000,2004,Shareef Abdur-Rahim
5000000,2005,Shareef Abdur-Rahim
5400000,2006,Shareef Abdur-Rahim
5800000,2007,Shareef Abdur-Rahim
6600000,2009,Shareef Abdur-Rahim
5994764,2016,Alex Abrines
5725000,2017,Alex Abrines
398762,2005,Alex Acker
839209,2006,Alex Acker
711517,2008,Alex Acker
75000,1987,Mark Acres
300000,1988,Mark Acres
437000,1990,Mark Acres
547000,1991,Mark Acres
250000,1992,Mark Acres
665000,2012,Quincy Acy
788872,2013,Quincy Acy
915243,2014,Quincy Acy
981348,2015,Quincy Acy
1914544,2016,Quincy Acy
1050961,2016,Quincy Acy
1709538,2017,Quincy Acy
500000,1984,Alvan Adams
600000,1985,Alvan Adams
675000,1987,Alvan Adams
412718,2006,Hassan Adams
297163,2008,Hassan Adams
1344120,2014,Jordan Adams
1404600,2015,Jordan Adams
1465080,2016,Jordan Adams
85000,1985,Michael Adams
160000,1987,Michael Adams
375000,1988,Michael Adams
825000,1990,Michael Adams
1309000,1991,Michael Adams
1309000,1992,Michael Adams
1309000,1993,Michael Adams
1240000,1994,Michael Adams
2090880,2013,Steven Adams
2184960,2014,Steven Adams
2279040,2015,Steven Adams
3140517,2016,Steven Adams
22471910,2017,Steven Adams
311000,1991,Rafael Addison
522000,1992,Rafael Addison
250000,1994,Rafael Addison
360000,1995,Rafael Addison
290000,1996,Rafael Addison
2490360,2017,Bam Adebayo
342666,2010,Jeff Adrien
270427,2011,Jeff Adrien
804131,2012,Jeff Adrien
916099,2013,Jeff Adrien
981084,2014,Jeff Adrien
944520,2007,Arron Afflalo
1015440,2008,Arron Afflalo
1086240,2009,Arron Afflalo
1959577,2010,Arron Afflalo
7562500,2011,Arron Afflalo
7750000,2012,Arron Afflalo
7312500,2013,Arron Afflalo
7750000,2014,Arron Afflalo
8000000,2015,Arron Afflalo
12500000,2016,Arron Afflalo
1500000,2017,Arron Afflalo
1471382,2017,Arron Afflalo
906480,2006,Maurice Ager
974400,2007,Maurice Ager
1042440,2008,Maurice Ager
83305,2010,Maurice Ager
800000,1984,Mark Aguirre
626240,1985,Mark Aguirre
715700,1987,Mark Aguirre
715700,1988,Mark Aguirre
1115000,1990,Mark Aguirre
1232000,1991,Mark Aguirre
1351000,1992,Mark Aguirre
1471000,1993,Mark Aguirre
150000,1993,Mark Aguirre
125562,2008,Blake Ahearn
400000,1984,Danny Ainge
550000,1985,Danny Ainge
625000,1987,Danny Ainge
675000,1988,Danny Ainge
725000,1990,Danny Ainge
725000,1991,Danny Ainge
1330000,1992,Danny Ainge
1690000,1993,Danny Ainge
2080000,1994,Danny Ainge
1276320,2008,Alexis Ajinca
1372080,2009,Alexis Ajinca
1467840,2010,Alexis Ajinca
981084,2014,Alexis Ajinca
4300000,2015,Alexis Ajinca
4600000,2016,Alexis Ajinca
4961798,2017,Alexis Ajinca
788872,2013,Josh Akognon
770000,2010,Solomon Alabi
830000,2011,Solomon Alabi
232500,1987,Mark Alarie
250000,1988,Mark Alarie
500000,1990,Mark Alarie
550000,1991,Mark Alarie
3000000,2014,Furkan Aldemir
3000000,2015,Furkan Aldemir
2126520,2010,Cole Aldrich
2286000,2011,Cole Aldrich
2445480,2012,Cole Aldrich
981084,2014,Cole Aldrich
1100600,2015,Cole Aldrich
7643979,2016,Cole Aldrich
7300000,2017,Cole Aldrich
4027320,2006,LaMarcus Aldridge
4329360,2007,LaMarcus Aldridge
4631400,2008,LaMarcus Aldridge
5844827,2009,LaMarcus Aldridge
11244000,2010,LaMarcus Aldridge
12372000,2011,LaMarcus Aldridge
13500000,2012,LaMarcus Aldridge
14128000,2013,LaMarcus Aldridge
16006000,2014,LaMarcus Aldridge
19500000,2015,LaMarcus Aldridge
20575005,2016,LaMarcus Aldridge
21461010,2017,LaMarcus Aldridge
525093,2015,Cliff Alexander
51449,2016,Cliff Alexander
490000,1995,Cory Alexander
521000,1996,Cory Alexander
562380,1997,Cory Alexander
1980000,1999,Cory Alexander
2160000,2000,Cory Alexander
1995741,2001,Cory Alexander
2149259,2002,Cory Alexander
2302778,2003,Cory Alexander
1319400,2000,Courtney Alexander
1418400,2001,Courtney Alexander
1517280,2002,Courtney Alexander
2168193,2003,Courtney Alexander
79029,2004,Courtney Alexander
150000,1994,Gary Alexander
2403120,2008,Joe Alexander
2583360,2009,Joe Alexander
90465,2010,Joe Alexander
750000,1991,Victor Alexander
942000,1992,Victor Alexander
1160000,1993,Victor Alexander
1377500,1994,Victor Alexander
1595000,1995,Victor Alexander
653350,2001,Victor Alexander
100000,1987,Steve Alford
150000,1988,Steve Alford
250000,1990,Steve Alford
1713720,2017,Jarrett Allen
200000,1995,Jerome Allen
247500,1996,Jerome Allen
35000,1997,Jerome Allen
510000,1999,Jerome Allen
473604,2011,Lavoy Allen
3000000,2012,Lavoy Allen
3060000,2013,Lavoy Allen
948163,2014,Lavoy Allen
3700000,2015,Lavoy Allen
4000000,2016,Lavoy Allen
332817,2001,Malik Allen
512435,2002,Malik Allen
1510000,2003,Malik Allen
1950625,2004,Malik Allen
1670000,2005,Malik Allen
1803600,2006,Malik Allen
998398,2007,Malik Allen
1300000,2008,Malik Allen
1300000,2009,Malik Allen
1229255,2010,Malik Allen
1785000,1996,Ray Allen
2052360,1997,Ray Allen
2320000,1998,Ray Allen
9000000,1999,Ray Allen
10130000,2000,Ray Allen
11250000,2001,Ray Allen
12375000,2002,Ray Allen
13500000,2003,Ray Allen
14625000,2004,Ray Allen
13223140,2005,Ray Allen
14611570,2006,Ray Allen
16000000,2007,Ray Allen
18388430,2008,Ray Allen
18776860,2009,Ray Allen
10000000,2010,Ray Allen
10000000,2011,Ray Allen
3090000,2012,Ray Allen
3229050,2013,Ray Allen
901920,2004,Tony Allen
969696,2005,Tony Allen
1037280,2006,Tony Allen
1868141,2007,Tony Allen
2500000,2008,Tony Allen
2500000,2009,Tony Allen
3000000,2010,Tony Allen
3150000,2011,Tony Allen
3300000,2012,Tony Allen
4494382,2013,Tony Allen
4831461,2014,Tony Allen
5168539,2015,Tony Allen
5505618,2016,Tony Allen
1471382,2017,Tony Allen
1005960,2007,Morris Almond
1081440,2008,Morris Almond
150000,1994,Derrick Alston
350000,1995,Derrick Alston
301875,1999,Rafer Alston
423500,2000,Rafer Alston
625000,2001,Rafer Alston
37344,2002,Rafer Alston
688679,2003,Rafer Alston
3500000,2004,Rafer Alston
3850000,2005,Rafer Alston
4200000,2006,Rafer Alston
4550000,2007,Rafer Alston
4900000,2008,Rafer Alston
4300000,2009,Rafer Alston
753133,2009,Rafer Alston
200000,1995,John Amaechi
385000,1999,John Amaechi
600000,2000,John Amaechi
2175000,2001,John Amaechi
2392500,2002,John Amaechi
2610000,2003,John Amaechi
1200000,2004,John Amaechi
225000,1995,Ashraf Amaya
247500,1996,Ashraf Amaya
2563320,2010,Al-Farouq Aminu
2755560,2011,Al-Farouq Aminu
2947800,2012,Al-Farouq Aminu
3700000,2013,Al-Farouq Aminu
981084,2014,Al-Farouq Aminu
7500000,2015,Al-Farouq Aminu
7680965,2016,Al-Farouq Aminu
7319035,2017,Al-Farouq Aminu
105696,2006,Lou Amundson
75000,2006,Lou Amundson
35232,2006,Lou Amundson
687456,2007,Lou Amundson
797581,2008,Lou Amundson
855189,2009,Lou Amundson
2225000,2010,Lou Amundson
2403000,2011,Lou Amundson
1069509,2012,Lou Amundson
409167,2014,Lou Amundson
1650000,2015,Lou Amundson
1551659,2016,Lou Amundson
288171,2001,Chris Andersen
512435,2002,Chris Andersen
638679,2003,Chris Andersen
1600000,2004,Chris Andersen
3500000,2005,Chris Andersen
998398,2008,Chris Andersen
3650000,2009,Chris Andersen
4533300,2010,Chris Andersen
4234000,2011,Chris Andersen
4526000,2012,Chris Andersen
699952,2012,Chris Andersen
1399507,2013,Chris Andersen
5375000,2014,Chris Andersen
5000000,2015,Chris Andersen
1551659,2016,Chris Andersen
2300000,2009,David Andersen
2500000,2010,David Andersen
398762,2005,Alan Anderson
102131,2006,Alan Anderson
885120,2012,Alan Anderson
947907,2013,Alan Anderson
1276061,2014,Alan Anderson
4000000,2015,Alan Anderson
1315448,2016,Alan Anderson
1107240,1997,Derek Anderson
1273000,1998,Derek Anderson
1439400,1999,Derek Anderson
2250000,2000,Derek Anderson
6495000,2001,Derek Anderson
7144500,2002,Derek Anderson
7794000,2003,Derek Anderson
8443500,2004,Derek Anderson
9093000,2005,Derek Anderson
1670000,2005,Derek Anderson
9742500,2006,Derek Anderson
901397,2006,Derek Anderson
400000,2006,Derek Anderson
1219590,2007,Derek Anderson
140000,1992,Eric Anderson
250000,1993,Eric Anderson
185000,1987,Greg Anderson
200000,1988,Greg Anderson
1365000,1990,Greg Anderson
1465000,1991,Greg Anderson
650000,1993,Greg Anderson
400000,1994,Greg Anderson
110000,1994,Greg Anderson
485000,1995,Greg Anderson
584000,1996,Greg Anderson
272250,1997,Greg Anderson
1361400,2010,James Anderson
1463520,2011,James Anderson
472427,2012,James Anderson
145749,2012,James Anderson
916099,2013,James Anderson
1015421,2015,James Anderson
1449000,2015,Justin Anderson
1514160,2016,Justin Anderson
1579440,2017,Justin Anderson
1828000,1991,Kenny Anderson
2376000,1992,Kenny Anderson
2925000,1993,Kenny Anderson
3463200,1994,Kenny Anderson
3898000,1995,Kenny Anderson
4175000,1996,Kenny Anderson
5010000,1997,Kenny Anderson
5845000,1998,Kenny Anderson
6680000,1999,Kenny Anderson
7520000,2000,Kenny Anderson
8350000,2001,Kenny Anderson
9185000,2002,Kenny Anderson
1070000,2003,Kenny Anderson
1100000,2004,Kenny Anderson
1093680,2014,Kyle Anderson
1142879,2015,Kyle Anderson
1192080,2016,Kyle Anderson
2151704,2017,Kyle Anderson
725000,1990,Nick Anderson
750000,1991,Nick Anderson
800000,1992,Nick Anderson
2670000,1993,Nick Anderson
3090000,1994,Nick Anderson
3200000,1995,Nick Anderson
3790000,1996,Nick Anderson
4000000,1997,Nick Anderson
3200000,1998,Nick Anderson
5051906,1999,Nick Anderson
3750000,2000,Nick Anderson
5401906,2001,Nick Anderson
6101906,2002,Nick Anderson
150000,1987,Richard Anderson
375000,1988,Richard Anderson
115000,1985,Ron Anderson
200000,1987,Ron Anderson
300000,1988,Ron Anderson
425000,1990,Ron Anderson
1000000,1991,Ron Anderson
950000,1992,Ron Anderson
300000,1993,Ron Anderson
1225200,2008,Ryan Anderson
1317120,2009,Ryan Anderson
1409040,2010,Ryan Anderson
2244601,2011,Ryan Anderson
8700000,2012,Ryan Anderson
8308500,2013,Ryan Anderson
8491500,2014,Ryan Anderson
8500000,2015,Ryan Anderson
18735364,2016,Ryan Anderson
19578455,2017,Ryan Anderson
220000,1996,Shandon Anderson
1200000,1997,Shandon Anderson
1300000,1998,Shandon Anderson
2000000,1999,Shandon Anderson
2200000,2000,Shandon Anderson
5500000,2001,Shandon Anderson
6100000,2002,Shandon Anderson
6700000,2003,Shandon Anderson
7300000,2004,Shandon Anderson
